"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"503","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:22:02,FALSE,NA,"1010513309269987329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mariamarkouli",79,TRUE,FALSE,NA,NA
"504","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:21:15,FALSE,NA,"1010513112737329152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leach_leach",79,TRUE,FALSE,NA,NA
"505","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:21:13,FALSE,NA,"1010513107330822144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","schein_uk",79,TRUE,FALSE,NA,NA
"506","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:20:47,FALSE,NA,"1010512995217125377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","David_Moscrop",79,TRUE,FALSE,NA,NA
"507","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:20:37,FALSE,NA,"1010512956461912066",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clairerushh",79,TRUE,FALSE,NA,NA
"508","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:20:00,FALSE,NA,"1010512798953111552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Disocialmind",79,TRUE,FALSE,NA,NA
"509","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:19:19,FALSE,NA,"1010512627032870912",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Guidoshooter2",79,TRUE,FALSE,NA,NA
"510","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:19:05,FALSE,NA,"1010512569633853441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JMaguireCritic",79,TRUE,FALSE,NA,NA
"511","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:19:03,FALSE,NA,"1010512559185825796",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","larsibacken",79,TRUE,FALSE,NA,NA
"512","RT @guardian: David Lynch: ‘You gotta be selfish. It's a terrible thing’ https://t.co/mlhznomvzg",FALSE,0,NA,2018-06-23 13:18:54,FALSE,NA,"1010512523278381057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sarahmolley",79,TRUE,FALSE,NA,NA
